2 4
--> 0 3.39504363507
--> 1 3.39504363507
--> 2 5.34022970998
--> 3 5.97909518245
--> 4 7.64198439258
--> 5 9.0566913044
--> 6 9.27230346739
         18148062 function calls (18147941 primitive calls) in 30.382 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      763    9.740    0.013   25.508    0.033 model.py:261(get_points)
  7989324    7.645    0.000    7.645    0.000 {numpy.core._dotblas.dot}
      750    2.960    0.004    3.097    0.004 KL.py:6(get_mean_cov)
  1253424    2.582    0.000    3.547    0.000 twodim_base.py:190(eye)
  1685661    1.795    0.000    1.795    0.000 {numpy.core.multiarray.array}
  1681877    0.995    0.000    2.785    0.000 function_base.py:837(copy)
  1213545    0.981    0.000    0.981    0.000 {method 'astype' of 'numpy.ndarray' objects}
  1257947    0.979    0.000    0.979    0.000 {numpy.core.multiarray.zeros}
  1529356    0.912    0.000    3.418    0.000 model.py:62(get_pt)
      750    0.309    0.000   30.027    0.040 KL.py:133(KL)
      751    0.210    0.000    0.221    0.000 KL.py:20(get_data)
    19536    0.168    0.000    0.393    0.000 model.py:355(rz)
  1212680    0.133    0.000    0.133    0.000 {method 'append' of 'list' objects}
        6    0.130    0.022    0.130    0.022 {waitKey}
        6    0.087    0.014    0.087    0.014 {imshow}
        2    0.087    0.043    0.087    0.043 {calcOpticalFlowFarneback}
    42570    0.066    0.000    0.066    0.000 {range}
        1    0.062    0.062    0.066    0.066 numeric.py:1(<module>)
     1498    0.046    0.000    0.080    0.000 linalg.py:455(inv)
      750    0.043    0.000    0.043    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    54562    0.039    0.000    0.137    0.000 model.py:68(get_R)
        1    0.036    0.036    0.036    0.036 model.py:1(<module>)
    42572    0.030    0.000    0.113    0.000 model.py:70(get_T)
     1502    0.028    0.000    0.553    0.000 model.py:368(wiggle)
     1498    0.026    0.000    0.049    0.000 linalg.py:1679(det)
    24042    0.019    0.000    0.062    0.000 model.py:83(set_R)
        1    0.019    0.019   30.057   30.057 KL.py:62(PSO)
     1530    0.018    0.000    0.073    0.000 model.py:304(tx)
    15260    0.015    0.000    0.040    0.000 model.py:77(set_pt)
        6    0.015    0.002    0.210    0.035 model.py:101(draw)
     1506    0.013    0.000    0.058    0.000 model.py:313(ty)
      750    0.012    0.000    0.062    0.000 _methods.py:53(_mean)
        3    0.011    0.004    0.215    0.072 __init__.py:1(<module>)
     2996    0.011    0.000    0.018    0.000 linalg.py:139(_commonType)
    12052    0.010    0.000    0.032    0.000 model.py:85(set_T)
        1    0.008    0.008    0.009    0.009 __init__.py:88(<module>)
       20    0.008    0.000    0.013    0.001 model.py:28(__init__)
        6    0.007    0.001    0.007    0.001 {imread}
     2996    0.005    0.000    0.008    0.000 linalg.py:209(_assertNdSquareness)
    15140    0.005    0.000    0.005    0.000 model.py:72(get_points)
       16    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x100166d80}
    15140    0.004    0.000    0.004    0.000 model.py:74(get_num_points)
     1498    0.004    0.000    0.004    0.000 {method 'astype' of 'numpy.generic' objects}
9826/9798    0.004    0.000    0.005    0.000 {issubclass}
     2996    0.004    0.000    0.005    0.000 linalg.py:198(_assertRankAtLeast2)
     2996    0.003    0.000    0.008    0.000 numeric.py:394(asarray)
     5992    0.003    0.000    0.005    0.000 linalg.py:111(isComplexType)
     1399    0.003    0.000    0.003    0.000 {method 'rand' of 'mtrand.RandomState' objects}
     1498    0.003    0.000    0.008    0.000 linalg.py:106(_makearray)
     1498    0.003    0.000    0.003    0.000 linalg.py:101(get_linalg_error_extobj)
        1    0.003    0.003    0.008    0.008 io.py:34(<module>)
      750    0.003    0.000    0.064    0.000 fromnumeric.py:2651(mean)
      750    0.003    0.000    0.004    0.000 _methods.py:43(_count_reduce_items)
        1    0.002    0.002    0.140    0.140 __init__.py:106(<module>)
     2996    0.002    0.000    0.003    0.000 linalg.py:124(_realType)
        1    0.002    0.002    0.003    0.003 collections.py:1(<module>)
        1    0.002    0.002    0.002    0.002 npyio.py:1(<module>)
     2996    0.002    0.000    0.002    0.000 {max}
        6    0.002    0.000    0.002    0.000 {blur}
        1    0.002    0.002    0.002    0.002 linalg.py:10(<module>)
        4    0.002    0.000    0.002    0.000 {cvtColor}
7069/7047    0.002    0.000    0.002    0.000 {len}
     1498    0.002    0.000    0.002    0.000 linalg.py:219(_assertNoEmpty2d)
     2457    0.002    0.000    0.002    0.000 {isinstance}
        2    0.002    0.001    0.009    0.005 __init__.py:45(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:15(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:38(<module>)
     2798    0.001    0.000    0.001    0.000 {getattr}
        1    0.001    0.001    0.015    0.015 utils.py:4(<module>)
        1    0.001    0.001    0.002    0.002 runner.py:1(<module>)
        1    0.001    0.001    0.004    0.004 random.py:40(<module>)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        1    0.001    0.001    0.013    0.013 tempfile.py:18(<module>)
        2    0.001    0.001    0.001    0.001 {Canny}
        1    0.001    0.001    0.023    0.023 __init__.py:7(<module>)
      750    0.001    0.000    0.002    0.000 numeric.py:464(asanyarray)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
     3076    0.001    0.000    0.001    0.000 {min}
        1    0.001    0.001   30.382   30.382 KL.py:1(<module>)
        2    0.001    0.000    0.001    0.001 collections.py:293(namedtuple)
      274    0.001    0.000    0.002    0.000 function_base.py:3251(add_newdoc)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
     3056    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.003    0.003 numerictypes.py:82(<module>)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        2    0.001    0.000    0.001    0.000 {distanceTransform}
        1    0.001    0.001    0.001    0.001 {function seed at 0x108d37140}
    19/13    0.001    0.000    0.002    0.000 sre_parse.py:395(_parse)
      274    0.001    0.000    0.001    0.000 {__import__}
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
        1    0.001    0.001    0.003    0.003 ctypeslib.py:51(<module>)
        1    0.001    0.001    0.001    0.001 result.py:1(<module>)
       16    0.000    0.000    0.006    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      313    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
    40/13    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
     1498    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.100    0.100 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.117    0.117 add_newdocs.py:10(<module>)
       64    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      271    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        2    0.000    0.000    0.100    0.050 util.py:21(update)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
    20/15    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       96    0.000    0.000    0.000    0.000 {circle}
    61/34    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
     1024    0.000    0.000    0.000    0.000 {chr}
       15    0.000    0.000    0.004    0.000 re.py:230(_compile)
       72    0.000    0.000    0.000    0.000 {line}
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
       53    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:305(_add_aliases)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        2    0.000    0.000    0.000    0.000 {normalize}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       15    0.000    0.000    0.000    0.000 sre_compile.py:256(_optimize_charset)
       72    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
       19    0.000    0.000    0.000    0.000 nosetester.py:181(__init__)
       13    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
      269    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      271    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
      145    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
       13    0.000    0.000    0.003    0.000 sre_compile.py:567(compile)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
