2 4
--> 0 3.55566856504
--> 1 3.55566856504
--> 2 4.07390853166
--> 3 7.344726303
--> 4 10.9989819212
--> 5 10.9989819212
--> 6 11.0125916052
--> 7 11.3712306689
--> 8 12.2400093889
--> 9 12.2400093889
         26904065 function calls (26903944 primitive calls) in 89.611 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1111   40.129    0.036   40.157    0.036 KL.py:20(get_data)
     1131   15.052    0.013   39.414    0.035 model.py:261(get_points)
 11831065   11.745    0.000   11.745    0.000 {numpy.core._dotblas.dot}
     1111    7.544    0.007    7.750    0.007 KL.py:6(get_mean_cov)
  1855152    4.094    0.000    5.612    0.000 twodim_base.py:190(eye)
  2496852    2.585    0.000    2.585    0.000 {numpy.core.multiarray.array}
  2264780    1.616    0.000    5.326    0.000 model.py:62(get_pt)
  2491263    1.562    0.000    4.136    0.000 function_base.py:837(copy)
  1861843    1.541    0.000    1.541    0.000 {numpy.core.multiarray.zeros}
  1795980    1.419    0.000    1.419    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1110    0.507    0.000   89.205    0.080 KL.py:134(KL)
    28896    0.261    0.000    0.608    0.000 model.py:355(rz)
  1795144    0.208    0.000    0.208    0.000 {method 'append' of 'list' objects}
       10    0.194    0.019    0.194    0.019 {waitKey}
   100147    0.128    0.000    0.128    0.000 {range}
       10    0.106    0.011    0.106    0.011 {imshow}
        2    0.090    0.045    0.090    0.045 {calcOpticalFlowFarneback}
     2220    0.084    0.000    0.145    0.000 linalg.py:455(inv)
        1    0.064    0.064    0.068    0.068 numeric.py:1(<module>)
    80802    0.060    0.000    0.210    0.000 model.py:68(get_R)
    63052    0.049    0.000    0.177    0.000 model.py:70(get_T)
     2222    0.044    0.000    0.871    0.000 model.py:368(wiggle)
     2220    0.042    0.000    0.079    0.000 linalg.py:1679(det)
        1    0.036    0.036    0.036    0.036 model.py:1(<module>)
        1    0.034    0.034   89.258   89.258 KL.py:63(PSO)
     1111    0.034    0.000    0.034    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    35562    0.032    0.000    0.094    0.000 model.py:83(set_R)
     2250    0.031    0.000    0.123    0.000 model.py:304(tx)
       10    0.026    0.003    0.374    0.037 model.py:101(draw)
    22620    0.025    0.000    0.062    0.000 model.py:77(set_pt)
     1111    0.023    0.000    0.069    0.000 _methods.py:53(_mean)
     2226    0.021    0.000    0.093    0.000 model.py:313(ty)
    17812    0.018    0.000    0.049    0.000 model.py:85(set_T)
     4440    0.018    0.000    0.030    0.000 linalg.py:139(_commonType)
        3    0.010    0.003    0.202    0.067 __init__.py:1(<module>)
        1    0.009    0.009    0.010    0.010 __init__.py:88(<module>)
     4440    0.008    0.000    0.013    0.000 linalg.py:209(_assertNdSquareness)
    22420    0.008    0.000    0.008    0.000 model.py:72(get_points)
       20    0.008    0.000    0.013    0.001 model.py:28(__init__)
    22420    0.008    0.000    0.008    0.000 model.py:74(get_num_points)
        6    0.007    0.001    0.007    0.001 {imread}
     2220    0.007    0.000    0.007    0.000 {method 'astype' of 'numpy.generic' objects}
     4440    0.006    0.000    0.008    0.000 linalg.py:198(_assertRankAtLeast2)
     2220    0.006    0.000    0.016    0.000 linalg.py:106(_makearray)
14519/14491    0.006    0.000    0.007    0.000 {issubclass}
     4440    0.006    0.000    0.014    0.000 numeric.py:394(asarray)
     1111    0.006    0.000    0.075    0.000 fromnumeric.py:2651(mean)
     2199    0.005    0.000    0.005    0.000 {method 'rand' of 'mtrand.RandomState' objects}
     8880    0.005    0.000    0.008    0.000 linalg.py:111(isComplexType)
     2220    0.005    0.000    0.005    0.000 linalg.py:101(get_linalg_error_extobj)
     1111    0.004    0.000    0.005    0.000 _methods.py:43(_count_reduce_items)
     4440    0.004    0.000    0.005    0.000 linalg.py:124(_realType)
     4440    0.003    0.000    0.003    0.000 {max}
     2220    0.003    0.000    0.003    0.000 linalg.py:219(_assertNoEmpty2d)
     1111    0.003    0.000    0.006    0.000 numeric.py:464(asanyarray)
9981/9959    0.003    0.000    0.003    0.000 {len}
        1    0.002    0.002    0.132    0.132 __init__.py:106(<module>)
     3520    0.002    0.000    0.002    0.000 {getattr}
        1    0.002    0.002    0.003    0.003 collections.py:1(<module>)
        6    0.002    0.000    0.002    0.000 {blur}
        4    0.002    0.000    0.002    0.000 {cvtColor}
     3179    0.002    0.000    0.002    0.000 {isinstance}
     4520    0.002    0.000    0.002    0.000 {min}
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:38(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x100166d80}
        1    0.001    0.001    0.002    0.002 runner.py:1(<module>)
        1    0.001    0.001    0.009    0.009 utils.py:4(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:15(<module>)
     4500    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        2    0.001    0.001    0.008    0.004 __init__.py:45(<module>)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
        2    0.001    0.001    0.001    0.001 {Canny}
        1    0.001    0.001    0.003    0.003 random.py:40(<module>)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        1    0.001    0.001    0.001    0.001 npyio.py:1(<module>)
        1    0.001    0.001    0.016    0.016 __init__.py:7(<module>)
        1    0.001    0.001    0.007    0.007 tempfile.py:18(<module>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
        2    0.001    0.000    0.001    0.001 collections.py:293(namedtuple)
        1    0.001    0.001   89.611   89.611 KL.py:1(<module>)
        1    0.001    0.001    0.003    0.003 numerictypes.py:82(<module>)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
      274    0.001    0.000    0.002    0.000 function_base.py:3251(add_newdoc)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.001    0.001    0.002    0.002 io.py:34(<module>)
        2    0.001    0.000    0.001    0.000 {distanceTransform}
        1    0.001    0.001    0.001    0.001 {function seed at 0x108d37140}
    19/13    0.001    0.000    0.002    0.000 sre_parse.py:395(_parse)
        1    0.001    0.001    0.003    0.003 ctypeslib.py:51(<module>)
        1    0.001    0.001    0.001    0.001 result.py:1(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
      274    0.001    0.000    0.001    0.000 {__import__}
     2220    0.001    0.000    0.001    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
      160    0.000    0.000    0.000    0.000 {circle}
        1    0.000    0.000    0.096    0.096 type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       16    0.000    0.000    0.002    0.000 abc.py:86(__new__)
    40/13    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
      313    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
      120    0.000    0.000    0.000    0.000 {line}
        1    0.000    0.000    0.108    0.108 add_newdocs.py:10(<module>)
      271    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.103    0.052 util.py:21(update)
       64    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
    20/15    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
    61/34    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
